session,env,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0024,sim,right,shoulder_pitch,63,0.06733553643621235,0.06740758788251128,0.07164300129059313,0.0717690298890119,666.7,-0.3677,False,0.0662489852348201,0.06629434946456678,0.0694763125535232,0.07145484118719025,48,0.06624457391629053,0.06630093861521458,0.07058886259300153,0.07144570288609131,-0.06624457391629053
episode_0024,sim,right,shoulder_roll,63,0.5363921712327523,0.5364165566253597,0.5448002271475638,0.5455887207454255,866.7,-0.469,False,0.5370356868077527,0.5370423223976485,0.540621000980884,0.5414648264814748,48,0.5342306176868585,0.5342433630569355,0.538869975621069,0.5391018502920317,0.5342306176868585
episode_0024,sim,right,shoulder_yaw,63,0.0286592898759851,0.031398139797626026,0.04722506401164503,0.04886139081356511,100.0,0.982,False,0.02752249154845859,0.03015510477252532,0.04442998556145041,0.04740698740717608,48,0.02363952499991895,0.02582214210570551,0.036530878381678455,0.03967572006678832,0.02363952499991895
episode_0024,sim,right,elbow,63,1.166885012145948,1.1669404365958218,1.184412307208472,1.1854401702907111,0.0,0.9864,False,1.166885012145948,1.1669404365958218,1.184412307208472,1.1854401702907111,48,1.1708450238734665,1.170889146345621,1.1849462493211682,1.1854401702907111,1.1708450238734665
episode_0024,sim,right,wrist_roll,63,0.5227955340121695,0.5228783086611446,0.5381577314395256,0.5393388291235887,0.0,0.9639,False,0.5227955340121695,0.5228783086611446,0.5381577314395256,0.5393388291235887,48,0.5195003695385402,0.5195588605963015,0.5319946305361271,0.5352818206503004,0.5195003695385402
episode_0025,physical,left,shoulder_pitch,1716,1.083599824246392,1.8432264461936552,3.307203617405472,15.395945391761053,100.0,0.9993,False,0.5832451677789511,0.9431918694922332,1.4795867880741895,8.765291469494315,170,0.4286856462309333,0.5377077787824419,1.3112304595042223,1.6160081303265343,-0.4283470664593801
episode_0025,physical,left,shoulder_roll,1716,0.9927654596781379,1.8478221802618289,3.334293297952364,16.1005800670756,100.0,0.9991,False,0.44016211185407467,0.8819716237809233,1.3957768299544617,9.736828135515033,388,0.2551068448444524,0.30274923869511866,0.5736721331969653,0.6865329071308643,-0.15408880797897534
episode_0025,physical,left,shoulder_yaw,1716,1.2467502125379561,3.3220906916474737,5.6025997793170275,36.03868104043798,100.0,0.9974,False,0.5836645279629488,1.740430133710943,2.758902505514054,22.409451778122317,401,0.1448059018391856,0.191058685955194,0.4322970995252189,0.5610515604282251,0.04380276052623706
episode_0025,physical,left,elbow,1716,0.8566926043580224,1.8046709014635274,4.047651117196056,17.07393424560597,100.0,0.9996,False,0.4376530638381806,0.9466572434826037,1.7706078164292822,9.807835657018828,126,0.22665277292269792,0.27591175982695676,0.5143091410474483,0.6071622376756673,-0.16460581601767627
episode_0025,physical,left,wrist_roll,1716,2.124387664194243,5.6844266770057255,8.415544196104454,47.51842967534013,100.0,0.9961,False,1.0884106100842774,3.1687721614452,4.024944228346158,33.05630153242373,431,0.4680201021736993,0.5035519532310898,0.7775600735597429,0.8905608247897039,-0.014507470607125919
episode_0025,physical,right,shoulder_pitch,1716,1.2011787076681635,1.879649683138166,3.5756041979933855,13.3495959089285,100.0,0.9993,False,0.5836198723568757,0.8939721031184593,1.5054873787579106,7.868833692859965,180,0.36276537905218537,0.4277593321134017,0.6833989454336069,0.8786864793059941,-0.32171820590803574
episode_0025,physical,right,shoulder_roll,1716,0.9572492062947489,1.5239855900112045,3.1483196823811532,8.062159280984623,100.0,0.9995,False,0.38777257526034264,0.6266671517991966,1.158655399290685,4.021508982764374,201,0.1924187398963651,0.21617289726449623,0.3531687316439296,0.4048082067900154,-0.1385406193210265
