session,env,asset,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0011,sim,superseded,right,shoulder_yaw,2205,2.589111600068813,4.233912761952921,11.500002536770445,20.93527572155864,700.0,0.9896,False,1.617890516231247,2.064120647507097,4.905587348039908,8.02044851692619,1365,1.1415137610086272,1.246965612177472,1.588012879703039,4.264594434312137,1.1368338336942385
episode_0011,sim,superseded,right,elbow,2205,6.138673259306094,6.279707649338579,8.391810986329395,12.748608849174131,466.7,0.9894,False,6.055458276667601,6.120138325433941,7.1594937148017905,9.20314490567404,819,6.244118199987417,6.256874476188458,6.85903098386599,7.40072957082786,6.244118199987417
episode_0011,sim,superseded,right,wrist_roll,2205,5.328665641648053,11.024813449558943,26.79654405074745,78.09907404520783,633.3,0.9975,False,2.547568627719625,3.75187995420837,7.465143123967328,29.38450524669077,957,1.7943064200578962,1.8636541884605895,2.4477744563058508,5.154307396941888,-0.05533745555828476
episode_0012,sim,superseded,left,shoulder_pitch,37,6.738385917482375,6.74089791303095,7.014502389539826,7.046825338401813,0.0,0.837,False,6.738385917482375,6.74089791303095,7.014502389539826,7.046825338401813,0,,,,,
episode_0012,sim,superseded,left,shoulder_roll,37,2.775112870586342,2.840772848731391,3.7920195394992273,3.9021098369914444,66.7,0.9061,False,2.5868022400490442,2.649509518062718,3.5222890308008226,3.7324242536662187,0,,,,,
episode_0012,sim,superseded,left,shoulder_yaw,37,2.2186256184702526,2.2371729478601896,2.672993263078275,2.7406930958392,200.0,0.9679,False,1.87776806621237,1.8865381814659903,2.1580245296031157,2.230892759024222,3,,,,,
episode_0012,sim,superseded,left,elbow,37,6.919347040335464,6.924596890289481,7.393105984923655,7.401387969443811,66.7,0.5524,False,6.870045394931675,6.8743310263816815,7.261341934488458,7.315993961649555,0,,,,,
episode_0012,sim,superseded,left,wrist_roll,37,2.7719880818054317,3.0451269355692223,5.209006519086035,5.356494182302988,233.3,0.9877,True,1.7170673831545122,1.8588781897392803,2.8391947526873293,3.1830665167024037,0,,,,,
episode_0012,sim,superseded,right,shoulder_pitch,37,10.405715431003244,10.424187249585177,11.620540972259967,11.774399939657407,0.0,0.0842,False,10.405715431003244,10.424187249585177,11.620540972259967,11.774399939657407,0,,,,,
episode_0012,sim,superseded,right,shoulder_roll,37,1.7877744682491639,1.8148400673207212,2.384206718585209,2.4013613399260336,233.3,0.9214,True,1.8816357852656977,1.8931915261163275,2.2035610581104246,2.2221183930846813,4,,,,,
episode_0012,sim,superseded,right,shoulder_yaw,37,2.9246314108425926,2.927047052286364,3.152649889494013,3.179590519976373,0.0,0.9946,False,2.9246314108425926,2.927047052286364,3.152649889494013,3.179590519976373,13,2.804785110569587,2.8050928505203863,2.8655260313994706,2.877255295236779,2.804785110569587
